yourlist:M20171116F725F458AC8690F874DD868E4ED79B88D9A3DCC	isomap:M20171116F725F458AC8690F874DD868E4ED79B88D9A3DCC	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
10075		A0A024R9W5	A0A024R9W5_HUMAN	unreviewed	HECT, UBA and WWE domain containing 1, isoform CRA_b	HUWE1 hCG_2000770	Homo sapiens (Human)	4374
10075		Q7Z6Z7	HUWE1_HUMAN	reviewed	E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)	HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272	Homo sapiens (Human)	4374
10111		A5D6Y3	A5D6Y3_HUMAN	unreviewed	RAD50 protein (Fragment)	RAD50	Homo sapiens (Human)	110
10111		Q92878	RAD50_HUMAN	reviewed	DNA repair protein RAD50 (hRAD50) (EC 3.6.-.-)	RAD50	Homo sapiens (Human)	1312
10113		B5MC98	B5MC98_HUMAN	unreviewed	Prolactin regulatory element-binding protein	PREB	Homo sapiens (Human)	359
10113		Q05DB2	Q05DB2_HUMAN	unreviewed	PREB protein (Prolactin regulatory element binding, isoform CRA_d)	PREB hCG_23709	Homo sapiens (Human)	345
10113		Q9HCU5	PREB_HUMAN	reviewed	Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12)	PREB SEC12	Homo sapiens (Human)	417
101206		Q8R0L9	TADA3_MOUSE	reviewed	Transcriptional adapter 3 (ADA3 homolog) (mADA3) (Transcriptional adapter 3-like) (ADA3-like protein)	Tada3 Ada3 Tada3l	Mus musculus (Mouse)	432
10128		E5KNY5	E5KNY5_HUMAN	unreviewed	Leucine-rich PPR-motif containing (Mitochondrial leucine-rich PPR motif-containing protein)	LRPPRC hCG_16810	Homo sapiens (Human)	1394
10128		P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
10130		Q15084	PDIA6_HUMAN	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	PDIA6 ERP5 P5 TXNDC7	Homo sapiens (Human)	440
10133		Q96CV9	OPTN_HUMAN	reviewed	Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)	OPTN FIP2 GLC1E HIP7 HYPL NRP	Homo sapiens (Human)	577
10134		P51572	BAP31_HUMAN	reviewed	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28)	BCAP31 BAP31 DXS1357E	Homo sapiens (Human)	246
10142		Q5GIA7	Q5GIA7_HUMAN	unreviewed	Antigen MU-RMS-40.16A (Fragment)		Homo sapiens (Human)	1016
10142		Q6PJH3	Q6PJH3_HUMAN	unreviewed	A kinase (PRKA) anchor protein (Yotiao) 9, isoform CRA_c (A-kinase anchor protein 9) (AKAP9 protein)	AKAP9 hCG_1812018	Homo sapiens (Human)	314
10142		Q99996	AKAP9_HUMAN	reviewed	A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)	AKAP9 AKAP350 AKAP450 KIAA0803	Homo sapiens (Human)	3911
10146		Q13283	G3BP1_HUMAN	reviewed	Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1)	G3BP1 G3BP	Homo sapiens (Human)	466
10146		Q5U0Q1	Q5U0Q1_HUMAN	unreviewed	Ras-GTPase-activating protein SH3-domain-binding protein (Ras-GTPase-activating protein SH3-domain-binding protein, isoform CRA_a) (Uncharacterized protein DKFZp686L1159) (cDNA, FLJ92947, Homo sapiens Ras-GTPase-activating protein SH3-domain-bindingprotein (G3BP), mRNA)	G3BP DKFZp686L1159 hCG_39146	Homo sapiens (Human)	466
10146		Q6ZP53	Q6ZP53_HUMAN	unreviewed	cDNA FLJ26493 fis, clone KDN06317, highly similar to Ras-GTPase-activating protein binding protein 1		Homo sapiens (Human)	307
10155		Q13263	TIF1B_HUMAN	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835
10159		O75787	RENR_HUMAN	reviewed	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adaptor) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit)	ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072	Homo sapiens (Human)	350
1017		A0A024RB10	A0A024RB10_HUMAN	unreviewed	Cyclin-dependent kinase 2, isoform CRA_a	CDK2 hCG_24992	Homo sapiens (Human)	264
1017		A0A024RB77	A0A024RB77_HUMAN	unreviewed	Cyclin-dependent kinase 2, isoform CRA_b	CDK2 hCG_24992	Homo sapiens (Human)	298
1017		B4DDL9	B4DDL9_HUMAN	unreviewed	cDNA FLJ54979, highly similar to Homo sapiens cyclin-dependent kinase 2 (CDK2), transcript variant 2, mRNA		Homo sapiens (Human)	238
1017		E7ESI2	E7ESI2_HUMAN	unreviewed	Cyclin-dependent kinase 2	CDK2	Homo sapiens (Human)	238
1017		G3V5T9	G3V5T9_HUMAN	unreviewed	Cyclin-dependent kinase 2 (Cyclin-dependent kinase 2, isoform CRA_c)	CDK2 hCG_24992	Homo sapiens (Human)	346
1017		P24941	CDK2_HUMAN	reviewed	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2 CDKN2	Homo sapiens (Human)	298
10174		O60504	VINEX_HUMAN	reviewed	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	Homo sapiens (Human)	671
10189		E9PB61	E9PB61_HUMAN	unreviewed	THO complex subunit 4	ALYREF	Homo sapiens (Human)	264
10189		Q86V81	THOC4_HUMAN	reviewed	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	ALYREF ALY BEF THOC4	Homo sapiens (Human)	257
1019		A0A024RBB6	A0A024RBB6_HUMAN	unreviewed	Cyclin-dependent kinase 4, isoform CRA_a	CDK4 hCG_40151	Homo sapiens (Human)	303
1019		P11802	CDK4_HUMAN	reviewed	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	Homo sapiens (Human)	303
10196		A0A0A0MSN7	A0A0A0MSN7_HUMAN	unreviewed	Protein arginine N-methyltransferase 3	PRMT3	Homo sapiens (Human)	469
10196		O60678	ANM3_HUMAN	reviewed	Protein arginine N-methyltransferase 3 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	PRMT3 HRMT1L3	Homo sapiens (Human)	531
10196		Q8WUV3	Q8WUV3_HUMAN	unreviewed	PRMT3 protein (Fragment)	PRMT3	Homo sapiens (Human)	548
10197		A0A024R203	A0A024R203_HUMAN	unreviewed	Proteasome (Prosome, macropain) activator subunit 3 (PA28 gamma Ki), isoform CRA_a	PSME3 hCG_16951	Homo sapiens (Human)	265
10197		B3KQ25	B3KQ25_HUMAN	unreviewed	Proteasome activator complex subunit 3 (cDNA FLJ32659 fis, clone TESTI1000045, highly similar to Proteasome activator complex subunit 3)	PSME3	Homo sapiens (Human)	193
10197		P61289	PSME3_HUMAN	reviewed	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	PSME3	Homo sapiens (Human)	254
10197		Q6MZZ1	Q6MZZ1_HUMAN	unreviewed	Uncharacterized protein DKFZp686J2076	DKFZp686J2076	Homo sapiens (Human)	15
10197		V9HWJ8	V9HWJ8_HUMAN	unreviewed	Epididymis secretory protein Li 283	HEL-S-283	Homo sapiens (Human)	254
10198		Q99550	MPP9_HUMAN	reviewed	M-phase phosphoprotein 9	MPHOSPH9 MPP9	Homo sapiens (Human)	1183
10211		O75955	FLOT1_HUMAN	reviewed	Flotillin-1	FLOT1	Homo sapiens (Human)	427
10211		Q5ST80	Q5ST80_HUMAN	unreviewed	FLOT1 (FLOT1 protein) (Flotillin 1) (Flotillin 1, isoform CRA_b)	FLOT1 hCG_2006678	Homo sapiens (Human)	427
1022		A0A0S2Z3F9	A0A0S2Z3F9_HUMAN	unreviewed	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase), isoform CRA_a (Cyclin-dependent kinase 7 isoform 1) (Fragment)	CDK7 hCG_1988840	Homo sapiens (Human)	346
1022		D6R9G1	D6R9G1_HUMAN	unreviewed	Cyclin-dependent kinase 7	CDK7	Homo sapiens (Human)	253
1022		D6RFL0	D6RFL0_HUMAN	unreviewed	Cyclin-dependent kinase 7 (Cyclin-dependent kinase 7 isoform 3)	CDK7	Homo sapiens (Human)	43
1022		P50613	CDK7_HUMAN	reviewed	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)	346
10236		B4DMB1	B4DMB1_HUMAN	unreviewed	cDNA FLJ53358, highly similar to Heterogeneous nuclear ribonucleoprotein R		Homo sapiens (Human)	595
10236		B4DMD1	B4DMD1_HUMAN	unreviewed	cDNA FLJ53360, highly similar to Heterogeneous nuclear ribonucleoprotein R		Homo sapiens (Human)	473
10236		B4DT28	B4DT28_HUMAN	unreviewed	Heterogeneous nuclear ribonucleoprotein R (Heterogeneous nuclear ribonucleoprotein R, isoform CRA_a) (cDNA FLJ54544, highly similar to Heterogeneous nuclear ribonucleoprotein R)	HNRNPR HNRPR hCG_38907	Homo sapiens (Human)	494
10236		O43390	HNRPR_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
10236		Q0VGD6	Q0VGD6_HUMAN	unreviewed	HNRPR protein (Fragment)	HNRPR	Homo sapiens (Human)	607
10236		Q6MZS5	Q6MZS5_HUMAN	unreviewed	Uncharacterized protein DKFZp686A13234 (Fragment)	DKFZp686A13234	Homo sapiens (Human)	613
1024		P49336	CDK8_HUMAN	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	Homo sapiens (Human)	464
10241		Q13137	CACO2_HUMAN	reviewed	Calcium-binding and coiled-coil domain-containing protein 2 (Antigen nuclear dot 52 kDa protein) (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52) (Nuclear dot protein 52)	CALCOCO2 NDP52	Homo sapiens (Human)	446
1025		A0A024R880	A0A024R880_HUMAN	unreviewed	Cyclin-dependent kinase 9 (CDC2-related kinase), isoform CRA_a	CDK9 hCG_18550	Homo sapiens (Human)	372
1025		P50750	CDK9_HUMAN	reviewed	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	CDK9 CDC2L4 TAK	Homo sapiens (Human)	372
10254		O75886	STAM2_HUMAN	reviewed	Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)	STAM2 HBP	Homo sapiens (Human)	525
10273		Q9UNE7	CHIP_HUMAN	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	Homo sapiens (Human)	303
10284		O00422	SAP18_HUMAN	reviewed	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
10284		X6RAL5	X6RAL5_HUMAN	unreviewed	Histone deacetylase complex subunit SAP18	SAP18	Homo sapiens (Human)	172
10285		O75940	SPF30_HUMAN	reviewed	Survival of motor neuron-related-splicing factor 30 (30 kDa splicing factor SMNrp) (SMN-related protein) (Survival motor neuron domain-containing protein 1)	SMNDC1 SMNR SPF30	Homo sapiens (Human)	238
1029		G3XAG3	G3XAG3_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase inhibitor 2A (Melanoma, p16, inhibits CDK4), isoform CRA_a)	CDKN2A hCG_28309	Homo sapiens (Human)	116
1029		K7PML8	K7PML8_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 2A	CDKN2A	Homo sapiens (Human)	156
1029		P42771	CDN2A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	Homo sapiens (Human)	156
1029		Q8N726	ARF_HUMAN	reviewed	Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF)	CDKN2A CDKN2 MLM	Homo sapiens (Human)	132
10291		A0A024R1K8	A0A024R1K8_HUMAN	unreviewed	Splicing factor 3a, subunit 1, 120kDa, isoform CRA_a	SF3A1 hCG_41298	Homo sapiens (Human)	793
10291		Q15459	SF3A1_HUMAN	reviewed	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	SF3A1 SAP114	Homo sapiens (Human)	793
103		P55265	DSRAD_HUMAN	reviewed	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226
10309		P22674	CCNO_HUMAN	reviewed	Cyclin-O	CCNO	Homo sapiens (Human)	350
10313		A0A024R5C4	A0A024R5C4_HUMAN	unreviewed	Reticulon	RTN3 hCG_1775344	Homo sapiens (Human)	236
10313		O95197	RTN3_HUMAN	reviewed	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	RTN3 ASYIP NSPL2	Homo sapiens (Human)	1032
10318		A0A0A0MRZ4	A0A0A0MRZ4_HUMAN	unreviewed	TNFAIP3-interacting protein 1	TNIP1	Homo sapiens (Human)	619
10318		A8K4N4	A8K4N4_HUMAN	unreviewed	cDNA FLJ77844, highly similar to Homo sapiens TNFAIP3 interacting protein 1, mRNA		Homo sapiens (Human)	636
10318		B7Z8K2	B7Z8K2_HUMAN	unreviewed	cDNA FLJ61022, highly similar to Nef-associated factor 1		Homo sapiens (Human)	619
10318		Q15025	TNIP1_HUMAN	reviewed	TNFAIP3-interacting protein 1 (A20-binding inhibitor of NF-kappa-B activation 1) (ABIN-1) (HIV-1 Nef-interacting protein) (Nef-associated factor 1) (Naf1) (Nip40-1) (Virion-associated nuclear shuttling protein) (VAN) (hVAN)	TNIP1 KIAA0113 NAF1	Homo sapiens (Human)	636
10320		C9JTB0	C9JTB0_HUMAN	unreviewed	DNA-binding protein Ikaros	IKZF1	Homo sapiens (Human)	174
10320		Q13422	IKZF1_HUMAN	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens (Human)	519
10320		R9R4D9	R9R4D9_HUMAN	unreviewed	DNA-binding protein Ikaros (IKAROS family zinc finger 1 isoform 14)	IKZF1	Homo sapiens (Human)	268
10360		O75607	NPM3_HUMAN	reviewed	Nucleoplasmin-3	NPM3	Homo sapiens (Human)	178
10376		P68363	TBA1B_HUMAN	reviewed	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	Homo sapiens (Human)	451
10381		Q13509	TBB3_HUMAN	reviewed	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3 TUBB4	Homo sapiens (Human)	450
10381		Q53G92	Q53G92_HUMAN	unreviewed	Tubulin beta chain (Fragment)		Homo sapiens (Human)	450
10382		P04350	TBB4A_HUMAN	reviewed	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	Homo sapiens (Human)	444
10383		P68371	TBB4B_HUMAN	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445
10399		E9KL35	E9KL35_HUMAN	unreviewed	Epididymis tissue sperm binding protein Li 3a		Homo sapiens (Human)	317
10399		P63244	RACK1_HUMAN	reviewed	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	317
10403		A8K031	A8K031_HUMAN	unreviewed	Kinetochore associated 2, isoform CRA_a (NDC80 homolog, kinetochore complex component (S. cerevisiae)) (cDNA FLJ77925, highly similar to Homo sapiens kinetochore associated 2, mRNA) (cDNA, FLJ93683, Homo sapiens kinetochore associated 2 (KNTC2), mRNA)	KNTC2 NDC80 hCG_38410	Homo sapiens (Human)	642
10403		O14777	NDC80_HUMAN	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642
10409		P80723	BASP1_HUMAN	reviewed	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	BASP1 NAP22	Homo sapiens (Human)	227
10419		B4DV00	B4DV00_HUMAN	unreviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.-)		Homo sapiens (Human)	531
10419		O14744	ANM5_HUMAN	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	Homo sapiens (Human)	637
10426		A0A087WU06	A0A087WU06_HUMAN	unreviewed	Gamma-tubulin complex component	TUBGCP3 hCG_27357	Homo sapiens (Human)	439
